Subj.Trial,Rating,Enumerated
1.01,Right,0
1.02,Right,0
1.03,Left,1
1.04,Left,1
1.05,Left,1
1.06,Right,0
1.07,Left,1
1.08,Right,0
1.09,Right,0
1.1,Right,0
1.11,Right,0
1.12,Right,0
1.13,Right,0
1.14,Left,1
1.15,Right,0
1.16,Left,1
1.17,Left,1
1.18,Right,0
1.19,Left,1
1.2,Right,0
1.21,Left,1
1.22,Left,1
1.23,Right,0
1.24,Left,1
1.25,Left,1
1.26,Left,1
1.27,Left,1
1.28,Left,1
1.29,Right,0
1.3,Right,0
1.31,Left,1
1.32,Left,1
1.33,Left,1
1.34,Left,1
1.35,Right,0
1.36,Left,1
1.37,Left,1
1.38,Left,1
1.39,Right,0
1.4,Left,1
1.41,Left,1
1.42,Right,0
1.43,Left,1
1.44,Right,0
1.45,Right,0
1.46,Left,1
1.47,Right,0
1.48,Right,0
1.49,Right,0
1.5,Left,1
1.51,Left,1
1.52,Right,0
1.53,Left,1
1.54,Left,1
1.55,Right,0
1.56,Right,0
1.57,Left,1
1.58,Right,0
1.59,Right,0
1.6,Right,0
2.01,Right,0
2.02,Left,1
2.03,Right,0
2.04,Right,0
2.05,Left,1
2.06,Left,1
2.07,Right,0
2.08,Right,0
2.09,Left,1
2.1,Right,0
2.11,Right,0
2.12,Right,0
2.13,Right,0
2.14,Left,1
2.15,Right,0
2.16,Left,1
2.17,Right,0
2.18,Right,0
2.19,Right,0
2.2,Right,0
2.21,Left,1
2.22,Left,1
2.23,Right,0
2.24,Left,1
2.25,Left,1
2.26,Right,0
2.27,Right,0
2.28,Right,0
2.29,Right,0
2.3,Left,1
2.31,Right,0
2.32,Left,1
2.33,Right,0
2.34,Left,1
2.35,Left,1
2.36,Right,0
2.37,Right,0
2.38,Left,1
2.39,Left,1
2.4,Left,1
2.41,Left,1
2.42,Left,1
2.43,Left,1
2.44,Right,0
2.45,Right,0
2.46,Left,1
2.47,Right,0
2.48,Left,1
2.49,Right,0
2.5,Left,1
2.51,Right,0
2.52,Right,0
2.53,Right,0
2.54,Left,1
2.55,Left,1
2.56,Left,1
2.57,Left,1
2.58,Left,1
2.59,Left,1
2.6,Right,0
3.01,Left,1
3.02,Right,0
3.03,Left,1
3.04,Right,0
3.05,Left,1
3.06,Left,1
3.07,Right,0
3.08,Left,1
3.09,Right,0
3.1,Left,1
3.11,Left,1
3.12,Left,1
3.13,Right,0
3.14,Left,1
3.15,Right,0
3.16,Left,1
3.17,Left,1
3.18,Left,1
3.19,Right,0
3.2,Right,0
3.21,Right,0
3.22,Left,1
3.23,Right,0
3.24,Right,0
3.25,Left,1
3.26,Left,1
3.27,Right,0
3.28,Right,0
3.29,Left,1
3.3,Left,1
3.31,Right,0
3.32,Left,1
3.33,Right,0
3.34,Left,1
3.35,Right,0
3.36,Left,1
3.37,Left,1
3.38,Right,0
3.39,Right,0
3.4,Right,0
3.41,Left,1
3.42,Left,1
3.43,Left,1
3.44,Left,1
3.45,Right,0
3.46,Left,1
3.47,Left,1
3.48,Right,0
3.49,Left,1
3.5,Left,1
3.51,Right,0
3.52,Left,1
3.53,Right,0
3.54,Right,0
3.55,Right,0
3.56,Right,0
3.57,Right,0
3.58,Left,1
3.59,Right,0
3.6,Left,1
4.01,Right,0
4.02,Left,1
4.03,Right,0
4.04,Left,1
4.05,Left,1
4.06,Left,1
4.07,Right,0
4.08,Left,1
4.09,Right,0
4.1,Left,1
4.11,Left,1
4.12,Left,1
4.13,Left,1
4.14,Left,1
4.15,Right,0
