Subj.Trial,A,B,C,D,E
1.01,0,0.460123648,0.428571429,0.468178002,0.463414634
1.02,0,0.498608964,0.571428571,0.469353484,0.512195122
1.03,1,0.535394127,0.628571429,0.385390428,0.463414634
1.04,1,0.607882535,0.828571429,0.36372796,0.585365854
1.05,1,0.551004637,0.6,0.398488665,0.365853659
1.06,0,0.317928903,0.2,0.291351805,0.048780488
1.07,1,0.477743431,0.428571429,0.490680101,0.268292683
1.08,0,0.348222566,0.257142857,0.252896725,0.12195122
1.09,0,0.340185471,0.2,0.330982368,0.097560976
1.1,0,0.46862442,0.628571429,0.308480269,0.292682927
1.11,0,0.398763524,0.342857143,0.297900924,0.195121951
1.12,0,0.519319938,0.514285714,0.251217464,0.341463415
1.13,0,0.263060278,0.171428571,0.182871537,0.12195122
1.14,1,0.73755796,0.857142857,0.338874895,0.56097561
1.15,0,0.437248841,0.428571429,0.378337531,0.390243902
1.16,1,0.653323029,0.714285714,0.34256927,0.585365854
1.17,1,0.44064915,0.428571429,0.412930311,0.170731707
1.18,0,0.436012365,0.542857143,0.329135181,0.146341463
1.19,1,0.582689335,0.742857143,0.364903442,0.43902439
1.2,0,0.425811437,0.428571429,0.29806885,0.292682927
1.21,1,0.39690881,0.4,0.342401343,0.243902439
1.22,1,0.429829985,0.428571429,0.357850546,0.292682927
1.23,0,0.412828439,0.371428571,0.3736356,0.243902439
1.24,1,0.497217929,0.6,0.382367758,0.292682927
1.25,1,0.511128284,0.6,0.328463476,0.487804878
1.26,1,0.741576507,0.742857143,0.269017632,0.43902439
1.27,1,0.476816074,0.485714286,0.308648195,0.292682927
1.28,1,0.458578053,0.485714286,0.27170445,0.243902439
1.29,0,0.483771252,0.571428571,0.27472712,0.317073171
1.3,0,0.578670788,0.685714286,0.37665827,0.463414634
1.31,1,0.48748068,0.628571429,0.236439966,0.317073171
1.32,1,0.497990726,0.514285714,0.328799328,0.317073171
1.33,1,0.485935085,0.514285714,0.275062972,0.414634146
1.34,1,0.55950541,0.685714286,0.306968934,0.56097561
1.35,0,0.394281298,0.257142857,0.267002519,0.146341463
1.36,1,0.408346213,0.457142857,0.422502099,0.268292683
1.37,1,0.564914992,0.6,0.3434089,0.414634146
1.38,1,0.50324575,0.571428571,0.347271201,0.317073171
1.39,0.15,0.429057187,0.514285714,0.413098237,0.317073171
1.4,1,0.559659969,0.657142857,0.332829555,0.365853659
1.41,1,0.335394127,0.285714286,0.51099916,0.341463415
1.42,0,0.44374034,0.428571429,0.337195634,0.243902439
1.43,1,0.648377125,0.771428571,0.260285474,0.56097561
1.44,0,0.482998454,0.542857143,0.289336692,0.56097561
1.45,0,0.471406491,0.514285714,0.376994123,0.268292683
1.46,1,0.363369397,0.257142857,0.392779177,0.365853659
1.47,0,0.534621329,0.657142857,0.462300588,0.634146341
1.48,0,0.32194745,0.314285714,0.328967254,0
1.49,0,0.336939722,0.342857143,0.304617968,0.536585366
