Subj.Trial,A,pearson,spearman,hsu,percision
1.01,0,1.90E-01,2.44E-01,2.19E-01,2.39E-01
1.02,0,2.23E-01,2.87E-01,2.57E-01,2.81E-01
1.03,1,3.51E-01,4.54E-01,4.05E-01,4.43E-01
1.04,1,3.87E-01,4.92E-01,4.41E-01,4.79E-01
1.05,1,3.46E-01,4.47E-01,3.99E-01,4.37E-01
1.06,0,1.11E-01,1.43E-01,1.28E-01,1.40E-01
1.07,1,3.36E-01,4.33E-01,3.86E-01,4.22E-01
1.08,0,1.21E-01,1.57E-01,1.40E-01,1.54E-01
1.09,0,1.21E-01,1.56E-01,1.40E-01,1.53E-01
1.1,0,2.16E-01,2.78E-01,2.49E-01,2.72E-01
1.11,0,1.44E-01,1.87E-01,1.67E-01,1.83E-01
1.12,0,1.90E-01,2.46E-01,2.20E-01,2.41E-01
1.13,0,9.14E-02,1.18E-01,1.05E-01,1.16E-01
1.14,1,3.94E-01,5.00E-01,4.49E-01,4.88E-01
1.15,0,1.71E-01,2.22E-01,1.99E-01,2.18E-01
1.16,1,3.81E-01,4.83E-01,4.33E-01,4.71E-01
1.17,1,3.24E-01,4.18E-01,3.73E-01,4.08E-01
1.18,0,1.87E-01,2.41E-01,2.16E-01,2.36E-01
1.19,1,3.62E-01,4.67E-01,4.17E-01,4.56E-01
1.2,0,1.61E-01,2.09E-01,1.86E-01,2.04E-01
1.21,1,3.19E-01,4.12E-01,3.67E-01,4.02E-01
1.22,1,3.25E-01,4.20E-01,3.74E-01,4.10E-01
1.23,0,1.56E-01,2.02E-01,1.80E-01,1.97E-01
1.24,1,3.40E-01,4.40E-01,3.92E-01,4.30E-01
1.25,1,3.48E-01,4.49E-01,4.01E-01,4.39E-01
1.26,1,3.78E-01,4.79E-01,4.29E-01,4.67E-01
1.27,1,3.29E-01,4.25E-01,3.79E-01,4.15E-01
1.28,1,3.25E-01,4.20E-01,3.74E-01,4.10E-01
1.29,0,2.01E-01,2.60E-01,2.33E-01,2.55E-01
1.3,0,2.50E-01,3.22E-01,2.88E-01,3.15E-01
1.31,1,3.37E-01,4.36E-01,3.89E-01,4.26E-01
1.32,1,3.33E-01,4.31E-01,3.84E-01,4.21E-01
1.33,1,3.34E-01,4.33E-01,3.86E-01,4.22E-01
1.34,1,3.64E-01,4.66E-01,4.17E-01,4.55E-01
1.35,0,1.35E-01,1.74E-01,1.56E-01,1.71E-01
1.36,1,3.28E-01,4.24E-01,3.78E-01,4.14E-01
1.37,1,3.46E-01,4.48E-01,4.00E-01,4.38E-01
1.38,1,3.38E-01,4.37E-01,3.89E-01,4.27E-01
1.39,0.15,1.96E-01,2.53E-01,2.26E-01,2.47E-01
1.4,1,3.47E-01,4.50E-01,4.01E-01,4.40E-01
1.41,1,3.30E-01,4.23E-01,3.77E-01,4.13E-01
1.42,0,1.65E-01,2.14E-01,1.91E-01,2.09E-01
1.43,1,3.73E-01,4.78E-01,4.27E-01,4.67E-01
1.44,0,2.19E-01,2.78E-01,2.50E-01,2.72E-01
1.45,0,1.89E-01,2.44E-01,2.18E-01,2.39E-01
1.46,1,3.19E-01,4.12E-01,3.67E-01,4.02E-01
1.47,0,3.09E-01,3.61E-01,3.28E-01,3.48E-01
1.48,0,1.19E-01,1.54E-01,1.38E-01,1.51E-01
1.49,0,1.91E-01,2.44E-01,2.18E-01,2.38E-01
1.5,1,3.55E-01,4.58E-01,4.08E-01,4.47E-01
1.51,1,3.57E-01,4.61E-01,4.12E-01,4.51E-01
1.52,0,1.41E-01,1.83E-01,1.64E-01,1.79E-01
1.53,1,3.63E-01,4.67E-01,4.17E-01,4.57E-01
1.54,1,3.41E-01,4.41E-01,3.93E-01,4.31E-01
1.55,0,1.54E-01,2.00E-01,1.79E-01,1.96E-01
1.56,0,2.20E-01,2.83E-01,2.53E-01,2.77E-01
1.57,1,3.51E-01,4.54E-01,4.05E-01,4.44E-01
1.58,0,1.73E-01,2.24E-01,2.00E-01,2.19E-01
1.59,0,1.81E-01,2.35E-01,2.10E-01,2.30E-01
1.6,0,2.42E-01,3.12E-01,2.79E-01,3.05E-01
2.01,0,2.07E-01,2.68E-01,2.39E-01,2.62E-01
2.02,0.27,2.12E-01,2.76E-01,2.46E-01,2.70E-01
2.03,0,1.76E-01,2.28E-01,2.04E-01,2.24E-01
2.04,0.91,3.11E-01,4.04E-01,3.60E-01,3.95E-01
2.05,1,3.47E-01,4.49E-01,4.01E-01,4.39E-01
2.06,1,3.49E-01,4.51E-01,4.02E-01,4.41E-01
2.07,0.28,2.41E-01,3.12E-01,2.79E-01,3.05E-01
2.08,0,1.86E-01,2.40E-01,2.15E-01,2.35E-01
2.09,1,3.42E-01,4.42E-01,3.94E-01,4.32E-01
2.1,1,3.37E-01,4.36E-01,3.89E-01,4.26E-01
2.11,1,3.51E-01,4.54E-01,4.05E-01,4.43E-01
2.12,0.31,2.29E-01,2.96E-01,2.64E-01,2.89E-01
2.13,1,3.67E-01,4.71E-01,4.21E-01,4.60E-01
2.14,0,2.31E-01,2.99E-01,2.67E-01,2.92E-01
2.15,0,1.90E-01,2.47E-01,2.20E-01,2.41E-01
2.16,1,3.40E-01,4.41E-01,3.93E-01,4.30E-01
2.17,0,2.09E-01,2.70E-01,2.41E-01,2.64E-01
